,Mandrillus_sphinx,Gorilla_gorilla,Cercocebus_albigena,Cercopithecus_nictitans,Cercopithecus_cephus,Pan_troglodytes,Cercopithecus_pogonias,Colobus_satanas
Pseudospondias_longifolia,1,1,1,1,1,1,1,0
Ficus_(12_species),1,1,1,1,1,1,1,0
Elaeis_guineensis,1,0,1,1,1,1,1,0
Tetrapleura_tetraptera,1,0,1,1,1,0,1,1
#4_species_herbs,1,1,0,1,1,1,0,0
Xylopia_(4_species),1,0,1,1,1,0,1,0
Pycnanthus_angolensis,0,0,1,1,1,1,1,0
Berlinia_bracteosa,0,0,1,1,1,0,1,1
Duboscia_macrocarpa,1,1,1,0,0,1,0,0
Detarium_macrocarpum_sp1,1,1,0,1,1,0,0,0
Milicia_excelsa_sp1,0,1,1,1,0,0,0,0
#5_species_herbs,1,1,0,0,0,1,0,0
Pentadesma_butyracea_sp1,0,1,0,1,0,0,0,1
Ongokea_gore,1,0,1,0,0,0,0,1
Pentaclethra_(2_species),1,0,1,0,0,0,0,1
Marantochloa_(2_species),1,1,0,0,0,0,0,0
Detarium_macrocarpum_sp2,1,1,0,0,0,0,0,0
Milicia_excelsa_sp2,0,1,0,0,0,0,0,0
Pentadesma_butyracea_sp2,0,0,0,0,1,0,0,0
