,Columba_palumbus,Corvus_corax,Corvus_corone,Dendrocopos_major,Erithacus_rubecula,Ficedula_hypoleuca,Phoenicurus_ochruros,Phoenicurus_phoenicurus,Pica_pica,Sylvia_atricapilla,Sylvia_borin,Sylvia_cantillans,Sylvia_communis,Sylvia_conspicillata,Sylvia_melanocephala,Turdus_iliacus,Turdus_merula,Turdus_philomelos,Turdus_pilaris,Turdus_torquatus,Turdus_viscivorus,Garrulus_glandarius,Parus_ater,Sitta_europaea,Emberiza_cia,Fringilla_coelebs,Parus_caeruleus,Parus_cristatus,Parus_major,Serinus_citinella,Serinus_serinus,Coccothraustes_coccothraustes,Loxia_curvirostra
Amelanchier_ovalis,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Arum_italicum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berberis_vulgaris,0,0,2,0,16,0,22,2,4,8,0,0,0,0,0,37,26,0,12,95,10,0,0,0,0,12,4,0,8,0,0,0,0
Cotoneaster_granatensis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crataegus_monogyna,12,2,10,0,2,0,0,0,13,6,0,0,0,0,0,152,111,6,74,375,121,13,4,1,1,68,7,3,27,0,0,67,4
Daphne_laureola,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0
Hedera_helix,0,0,0,0,0,0,1,0,0,84,0,0,0,0,0,7,141,0,0,2,8,0,0,0,0,2,0,0,0,0,0,0,0
Juniperus_communis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0
Juniperus_oxycedrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Juniperus_phoenicea,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,8,183,115,4,0,0,0,0,0,0,0,0,0,8,0
Juniperus_sabina,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,62,8,0,0,0,0,0,0,0,0,0,0,0,0
Lonicera_arborea,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,7,0,0,66,1,0,8,0,0,5,0,0,1,0,0,0,0
Lonicera_etrusca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lonicera_splendida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Paeonia_officinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polygonatum_odoratum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunus_mahaleb,55,0,19,21,175,1,941,111,0,62,8,32,182,2,35,0,583,0,0,0,829,135,391,33,0,783,61,37,41,6,18,3,0
Prunus_prostrata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhamnus_myrtifolius,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhamnus_saxatilis,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosa_canina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,50,1,19,58,22,0,0,0,0,0,0,0,0,0,0,4,2
Rubia_peregrina,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rubus_ulmifolius,0,0,0,0,1,1,2,0,0,3,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Sorbus_aria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxus_baccata,5,0,0,0,5,0,16,0,0,0,0,0,0,0,0,6,10,0,0,11,5,0,0,0,0,0,0,0,0,0,0,2,0
